-26	-78	-14
-26	-96	-12
-6	-92	-4
-22	-96	6
-40	-84	10
-24	-88	24
-24	-54	-10
-10	-68	-4
-14	-44	-2
-12	-70	8
-12	-72	22
-6	-88	28
-8	-12	46
-48	-28	56
-40	-26	56
-32	-22	64
-26	-38	68
-20	-10	68
-4	-32	66
-20	-30	68
-50	-4	-2
-54	-24	10
-36	-22	16
-56	-4	10
-56	-40	20
-52	-22	18
-56	-8	30
-48	-8	46
-44	-48	-20
-46	-70	-8
-48	-70	10
-26	-70	38
-16	-72	54
-30	-60	60
-54	-26	42
-40	-36	48
-30	-46	62
-18	-54	68
-32	-4	54
-62	-26	28
-40	-4	-4
-38	0	10
-52	8	10
-12	-36	46
-6	10	42
-6	-2	66
-60	-40	36
-28	42	32
-34	20	6
-6	30	24
-24	22	-20
-10	36	-20
-30	-6	-40
-44	-20	-30
-28	10	-34
-42	8	-18
-56	-60	-2
-34	-62	48
-46	-42	46
-32	-48	46
-22	6	62
-42	40	16
-44	20	28
-48	6	28
-42	6	44
-4	4	30
-60	-42	-14
-54	-50	46
-40	18	50
-42	50	-6
-28	58	8
-10	-74	38
-6	-60	56
-4	-28	28
-46	-66	38
-24	24	48
-6	-54	28
-4	-30	36
-6	-54	42
-6	36	-10
-12	64	-6
-6	44	8
-46	8	-32
-60	-18	-22
-56	-6	-12
-58	-30	-4
-58	-54	28
-8	60	20
-12	48	44
-4	34	44
-10	16	64
-34	20	-14
-32	42	-14
-46	30	-8
-52	22	8
-38	-80	32
-10	-56	12
-26	-32	-18
-58	-42	8
-48	-58	18
28	-68	-12
48	-72	-6
12	-92	-6
30	-94	-4
42	-80	10
20	-90	22
12	-64	-4
16	-46	-2
8	-76	8
22	-60	8
10	-74	26
16	-84	40
52	-22	52
46	-12	48
6	-10	52
40	-24	58
32	-40	64
34	-20	66
28	-34	66
22	-8	68
10	-40	70
6	-22	68
20	-30	70
52	-14	4
64	-24	8
38	-14	14
44	-28	18
60	0	10
56	-12	14
58	-4	30
50	-54	-16
52	-60	10
32	-74	32
14	-74	52
34	-48	50
26	-62	58
60	-16	34
42	-32	46
8	-56	62
22	-48	70
34	-4	52
60	-26	28
50	4	40
40	6	-16
46	-4	-4
44	6	4
8	10	42
10	-16	42
10	-36	46
8	4	66
62	-38	36
44	44	10
30	48	28
34	22	-8
36	24	4
8	30	28
12	38	-22
28	22	-20
4	36	-14
14	64	-8
30	8	-38
46	-12	-34
26	-10	-32
38	-34	-24
38	-62	48
46	-38	50
26	8	58
52	10	20
46	24	26
4	2	30
60	-12	-20
62	-42	-12
50	-58	44
52	-42	48
40	34	38
42	14	48
36	46	-14
30	58	4
8	24	56
24	24	54
14	-70	36
6	-58	44
6	-24	30
54	-50	28
28	30	42
6	-48	30
8	42	4
6	28	16
8	58	18
62	-26	-6
48	12	-30
16	46	44
50	28	0
46	-70	28
12	-54	14
28	-36	-14
54	-6	-10
52	-32	2
58	-46	10
60	-38	16
26	-14	-20
28	-32	-8
28	-2	-22
22	-6	-16
16	-30	2
14	-22	2
8	-10	6
12	-22	12
12	10	-6
14	18	-2
24	-8	-2
18	0	-2
24	8	-2
30	-6	4
14	14	6
14	4	16
-24	-14	-20
-26	-32	-8
-26	-2	-22
-20	-6	-16
-14	-30	2
-12	-22	2
-6	-10	6
-10	-22	12
-10	10	-6
-12	18	-2
-22	-8	-2
-16	0	-2
-22	8	-2
-28	-6	4
-12	14	6
-12	4	16
