-36	-62	-16
-24	-72	-10
-36	-82	-16
-16	-86	-16
-24	-96	-12
-42	-86	-4
-8	-98	-8
-46	-74	6
-24	-96	6
-40	-84	14
-10	-96	18
-26	-84	22
-24	-54	-8
-12	-62	-4
-6	-76	-6
-14	-44	-6
-14	-56	2
-4	-88	2
-8	-74	10
-18	-64	6
-2	-84	24
-12	-72	20
-16	-88	34
-12	-82	36
-8	-16	48
-40	-14	48
-48	-18	54
-48	-30	58
-38	-24	52
-8	-38	54
-4	-24	56
-4	-8	60
-36	-20	64
-32	-30	62
-30	-38	66
-24	-10	64
-20	-24	66
-8	-42	70
-4	-26	68
-14	-12	72
-18	-32	68
-18	-40	72
-12	-26	74
-50	-10	0
-56	-22	8
-36	-24	10
-38	-8	12
-36	-26	18
-58	-36	16
-40	-36	14
-48	-12	14
-60	-2	10
-48	-24	18
-62	-18	20
-60	-2	24
-62	-10	32
-54	-8	30
-52	-6	44
-48	-16	40
-44	-42	-22
-32	-42	-20
-48	-56	-16
-46	-70	-8
-48	-66	16
-32	-84	26
-26	-70	30
-22	-78	44
-22	-66	46
-28	-58	50
-36	-52	56
-14	-70	58
-28	-62	62
-62	-24	32
-54	-20	40
-54	-32	44
-46	-30	44
-38	-38	50
-30	-46	62
-8	-58	64
-20	-56	66
-14	-50	72
-40	-2	52
-26	0	56
-30	-8	52
-50	2	38
-54	-32	22
-58	-44	28
-62	-36	34
-38	2	-4
-40	-14	-2
-32	18	8
-36	4	10
-50	2	4
-52	8	14
-12	-28	42
-12	-42	48
-6	-48	56
-6	0	40
-6	10	48
-8	-2	70
-38	50	10
-28	44	30
-36	32	38
-34	16	-8
-32	24	0
-44	12	2
-26	50	-14
-6	22	32
-12	24	-20
-24	22	-20
-10	48	-22
-4	24	-20
-16	64	-8
-38	-6	-42
-24	6	-40
-26	-10	-32
-54	-22	-30
-40	-22	-26
-32	12	-30
-44	6	-16
-56	-62	0
-28	-74	42
-58	-42	46
-34	-62	48
-44	-42	46
-34	-46	40
-22	6	64
-48	36	10
-42	38	22
-50	6	26
-44	20	26
-40	8	34
-4	6	28
-60	-36	-18
-60	-48	-10
-48	-60	46
-54	-50	44
-42	-52	48
-30	14	58
-42	48	-6
-28	58	0
-28	56	12
-4	28	48
-10	-70	32
-10	-78	46
-4	-64	52
-6	-40	24
-4	-22	30
-48	-64	32
-42	-72	44
-24	28	44
-18	36	48
-22	20	52
-4	-54	20
-6	-60	30
-8	-44	32
-4	-34	38
-2	-16	38
-2	-68	42
-6	-50	42
-4	56	-10
-6	36	-8
-6	60	6
-6	44	6
-16	68	8
-6	34	20
-44	12	-34
-54	-2	-30
-62	-18	-20
-56	-8	-14
-60	-34	-4
-52	-22	-6
-46	-58	20
-56	-54	30
-4	52	28
-14	58	30
-22	50	32
-8	42	52
-12	24	60
-6	10	64
-40	20	48
-42	8	48
-36	22	-16
-36	36	-12
-46	32	-10
-48	28	0
-54	20	12
-40	-78	30
-14	-48	4
-8	-52	10
-14	-60	18
-20	-20	-26
-30	-32	-18
-18	-38	-12
-52	6	-12
-60	-12	-2
-62	-32	6
-52	-44	4
-58	-54	10
-58	-48	16
36	-54	-18
38	-74	-16
24	-74	-10
20	-88	-12
42	-84	-12
26	-96	-10
8	-92	-2
36	-88	2
24	-98	8
44	-78	10
12	-94	18
28	-88	20
26	-52	-8
18	-36	-12
10	-72	-6
14	-58	-4
18	-44	-2
10	-74	8
22	-60	6
16	-66	18
4	-80	24
14	-78	34
16	-86	36
54	-16	40
52	-12	50
44	-10	48
50	-26	56
6	-10	52
44	-22	54
38	-20	64
32	-34	64
30	-40	64
34	-28	62
4	-24	58
28	-10	64
10	-40	68
22	-24	66
22	-28	68
22	-34	70
16	-6	70
6	-22	72
16	-18	74
12	-32	76
52	4	-6
54	-14	6
40	-20	4
38	-8	14
34	-22	14
60	-24	10
42	-14	18
42	-30	18
50	-10	14
60	0	10
48	-22	18
62	-12	16
60	6	30
60	-6	26
52	-6	38
34	-36	-24
50	-50	-18
50	-64	-10
48	-66	4
54	-56	12
36	-78	24
30	-78	36
32	-66	36
18	-78	50
30	-64	52
20	-68	52
34	-50	54
26	-58	60
14	-64	64
60	-54	-2
62	-14	30
58	-22	44
44	-38	50
46	-28	42
36	-36	52
8	-54	60
24	-50	68
16	-46	74
